"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.004617875E0,-3.067186440E1,-1.847577240E1,7.390727388E0,3.656145899E1
3.014671875E0,-2.953067970E1,-1.914620713E1,1.051282830E1,3.673088414E1
3.024726875E0,-3.001696690E1,-2.037003405E1,1.183979426E1,3.815936735E1
3.034780875E0,-2.866626242E1,-1.998568019E1,1.146415743E1,3.677783190E1
3.044834875E0,-2.445919777E1,-1.763740564E1,8.249082273E0,3.126304195E1
3.054888875E0,-2.036917334E1,-1.560315464E1,4.345116237E0,2.602386774E1
3.064943875E0,-1.673393364E1,-1.342095738E1,1.066518102E0,2.147752530E1
3.074997875E0,-1.332324339E1,-1.055935226E1,-1.983611777E0,1.711559086E1
3.085051875E0,-8.916800972E0,-6.519037342E0,-4.578200871E0,1.195688549E1
3.095106875E0,-4.372884665E0,-2.045041163E0,-6.062246423E0,7.749525492E0
3.105160875E0,-6.981364989E-1,2.066207791E0,-6.548060582E0,6.901717655E0
3.115214875E0,2.411878223E0,5.100542586E0,-5.979022418E0,8.220790735E0
3.125268875E0,4.812475414E0,7.055395417E0,-4.736905999E0,9.766104778E0
3.135323875E0,6.478497427E0,8.004077505E0,-3.880985309E0,1.100446421E1
3.145377875E0,7.882071843E0,8.135262712E0,-3.263595350E0,1.178815552E1
3.155431875E0,9.030691284E0,8.041703753E0,-3.045236344E0,1.246979746E1
3.165485875E0,1.005533981E1,7.964470221E0,-3.031443931E0,1.318075480E1
3.175540875E0,1.094465220E1,7.659444369E0,-3.032390596E0,1.369846314E1
3.185594875E0,1.158921417E1,7.240656259E0,-3.495999368E0,1.410528269E1
3.195648875E0,1.165441296E1,6.487779297E0,-4.046994193E0,1.393896638E1
3.205703875E0,1.134698741E1,6.091725161E0,-4.335696958E0,1.358902156E1
3.215757875E0,1.091682179E1,5.372033486E0,-4.416594940E0,1.294380364E1
3.225811875E0,1.079347361E1,4.947632049E0,-4.232029333E0,1.260508658E1
