"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.677266625E0,1.206041438E0,1.358574391E0,1.851260051E0,2.593727838E0
1.687320625E0,1.187616861E0,1.333622275E0,1.839592516E0,2.563802412E0
1.697374625E0,1.220477629E0,1.208137884E0,1.774663864E0,2.469533280E0
1.707428625E0,1.263354676E0,9.187517993E-1,1.680621341E0,2.294484255E0
1.717482625E0,1.252702219E0,4.944763698E-1,1.603263847E0,2.093854029E0
1.727536625E0,1.201112820E0,7.141474910E-2,1.560341776E0,1.970390451E0
1.737590625E0,1.148766791E0,-2.583992039E-1,1.548778322E0,1.945546088E0
1.747644625E0,1.213217726E0,-5.230101243E-1,1.567106420E0,2.049697385E0
1.757698625E0,1.397693287E0,-6.618030703E-1,1.607467411E0,2.230578692E0
1.767752625E0,1.572373007E0,-6.483809330E-1,1.668448023E0,2.382535102E0
1.777806625E0,1.654812316E0,-5.281276806E-1,1.766141548E0,2.477211863E0
1.787860625E0,1.732687288E0,-3.372557044E-1,1.852815410E0,2.559076316E0
1.797914625E0,1.819719000E0,-3.858336411E-2,1.885894278E0,2.620966071E0
1.807968625E0,1.863514060E0,3.282068093E-1,1.935614907E0,2.706844922E0
1.818022625E0,1.894489101E0,6.741901774E-1,1.930611445E0,2.787630158E0
1.828076625E0,1.894223637E0,9.797143581E-1,1.885583206E0,2.846637918E0
1.838130625E0,1.840971290E0,1.261499062E0,1.806803670E0,2.871427289E0
1.848184625E0,1.643749968E0,1.495723465E0,1.821793007E0,2.873679245E0
1.858238625E0,1.343101927E0,1.738378821E0,1.962338437E0,2.945616379E0
1.868292625E0,1.096928301E0,1.943016020E0,2.071935723E0,3.044910605E0
1.878346625E0,8.152965742E-1,2.136821545E0,2.175101073E0,3.156228682E0
1.888400625E0,5.749309874E-1,2.383931164E0,2.272335007E0,3.343228951E0
1.898454625E0,3.778383046E-1,2.654448211E0,2.305644255E0,3.536220089E0
1.908508625E0,1.947081882E-1,2.786229833E0,2.308686562E0,3.623675151E0
1.918562625E0,1.838832378E-2,2.776163852E0,2.241624845E0,3.568235672E0
1.928616625E0,-1.108176005E-1,2.758363173E0,2.075472119E0,3.453756282E0
1.938670625E0,-2.257276672E-1,2.823423972E0,1.817837951E0,3.365592180E0
1.948724625E0,-3.799877411E-1,2.879557242E0,1.429602127E0,3.237283249E0
1.958778625E0,-5.553931010E-1,2.831468279E0,1.095201033E0,3.086282459E0
1.968832625E0,-7.670418423E-1,2.703394083E0,1.008555238E0,2.985611566E0
1.978886625E0,-9.416063726E-1,2.563297720E0,1.084524018E0,2.938249497E0
1.988940625E0,-9.759219271E-1,2.536498176E0,1.202285771E0,2.971823966E0
1.998994625E0,-8.872161573E-1,2.636497551E0,1.229034444E0,3.041183571E0
2.009048625E0,-7.276567519E-1,2.822926666E0,1.079533931E0,3.108664154E0
2.019102625E0,-5.367656261E-1,3.077326448E0,8.238906656E-1,3.230611588E0
2.029156625E0,-4.384511268E-1,3.334527923E0,5.726147591E-1,3.411627694E0
2.039210625E0,-5.373889393E-1,3.485554487E0,2.739044119E-1,3.537357853E0
2.049264625E0,-7.475168198E-1,3.554062804E0,-2.359826602E-2,3.631900424E0
2.059318625E0,-9.320888597E-1,3.578129944E0,-3.043845583E-1,3.710047641E0
2.069372625E0,-1.088301319E0,3.720296514E0,-6.237656169E-1,3.926078127E0
2.079426625E0,-1.230745339E0,3.999283837E0,-9.149489164E-1,4.283239057E0
2.089480625E0,-1.290168253E0,4.363208400E0,-1.142220833E0,4.691139530E0
2.099534625E0,-1.120300791E0,4.675719857E0,-1.383799717E0,5.003232125E0
2.109588625E0,-8.838370514E-1,4.881317022E0,-1.489822016E0,5.179574640E0
2.119642625E0,-7.435956770E-1,5.022098095E0,-1.377544074E0,5.260421226E0
2.129696625E0,-7.230351126E-1,4.971915536E0,-1.172525198E0,5.159218857E0
2.139750625E0,-8.648587435E-1,4.737532235E0,-8.834809560E-1,4.896195556E0
2.149804625E0,-1.047515236E0,4.418848750E0,-5.857065287E-1,4.578926138E0
2.159858625E0,-1.140039822E0,4.006682904E0,-3.640524705E-1,4.181594539E0
2.169912625E0,-1.115969759E0,3.606031103E0,-2.619197394E-1,3.783840742E0
2.179966625E0,-1.116221774E0,3.296020207E0,-1.664933261E-1,3.483880061E0
2.190020625E0,-1.057667756E0,3.069868909E0,-8.637302309E-2,3.248109681E0
2.200074625E0,-8.141569519E-1,2.946524234E0,-9.886062920E-2,3.058533967E0
2.210128625E0,-5.426145959E-1,2.852422069E0,-6.613493264E-2,2.904327132E0
2.220182625E0,-3.457780212E-1,2.735196505E0,7.474027991E-2,2.757979055E0
2.230236625E0,-2.598572803E-1,2.697582828E0,2.191299614E-1,2.718914648E0
2.240290625E0,-2.965947515E-1,2.768096448E0,3.493071082E-1,2.805769386E0
2.250344625E0,-3.335935932E-1,2.870537328E0,4.491950932E-1,2.924559021E0
2.260398625E0,-2.832812262E-1,2.952228193E0,4.573598528E-1,3.000846146E0
2.270452625E0,-2.158107895E-1,3.038315287E0,1.981182843E-1,3.052406417E0
2.280506625E0,-2.397101140E-1,3.089282542E0,-4.093881261E-1,3.125496153E0
2.290560625E0,-1.358354974E-1,3.135244581E0,-1.264764148E0,3.383465415E0
2.300614625E0,3.056398094E-2,3.072498694E0,-2.024093220E0,3.679420572E0
2.310668625E0,8.734395325E-2,2.628651757E0,-2.900527112E0,3.915417800E0
2.320722625E0,3.013491225E-1,1.949192142E0,-3.739513388E0,4.227779758E0
2.330776625E0,1.178833759E-1,1.740858626E0,-3.405495579E0,3.826471663E0
2.340830625E0,-1.872711146E0,-3.879134957E-1,-3.098466471E0,3.641156189E0
2.350884625E0,-2.238117101E0,-2.302087394E0,-2.502130582E0,4.070556715E0
2.360938625E0,-1.323955804E0,-3.267545729E0,-2.375413525E0,4.251153193E0
2.370992625E0,-7.486476713E-1,-4.297760223E0,-2.695330773E0,5.127964922E0
2.381046625E0,4.007038414E-1,-4.321042666E0,-3.537737378E0,5.598889090E0
2.391100625E0,3.862438526E0,3.268262013E0,-3.174914138E0,5.973277805E0
2.401154625E0,-5.185059410E-1,6.942827160E0,3.903028142E-1,6.973093551E0
2.411208625E0,-2.374525625E0,3.615107443E0,3.605622675E0,5.630975816E0
2.421262625E0,-3.801728055E0,2.434176580E0,2.971638025E0,5.404533687E0
2.431316625E0,-4.035015587E0,1.329753611E0,2.163870618E0,4.767801538E0
2.441370625E0,-3.810662016E0,1.048353142E-1,1.263376311E0,4.015999893E0
2.451424625E0,-3.746067824E0,-1.369567010E0,4.913494250E-1,4.018726440E0
2.461478625E0,-3.516000938E0,-2.255260698E0,-1.001566646E-1,4.178336364E0
2.471532625E0,-3.051747803E0,-2.515758103E0,-7.602435771E-1,4.027427688E0
2.481586625E0,-2.434188275E0,-2.383172341E0,-1.199860492E0,3.611709868E0
2.491640625E0,-1.757010536E0,-2.141806004E0,-1.250689315E0,3.039513570E0
2.501694625E0,-1.209434577E0,-1.948705361E0,-9.117276853E-1,2.468082647E0
2.511748625E0,-8.370616651E-1,-1.889278062E0,-3.142875490E-1,2.090172359E0
2.521802625E0,-6.198422813E-1,-1.947767175E0,2.504765922E-1,2.059305695E0
2.531856625E0,-3.557761753E-1,-2.054582649E0,6.247317231E-1,2.176735233E0
2.541910625E0,-1.420774001E-1,-2.240697477E0,8.396133900E-1,2.397052735E0
2.551964625E0,5.782019198E-2,-2.502077957E0,9.243506545E-1,2.667988270E0
2.562018625E0,2.939395308E-1,-2.802120227E0,9.381435053E-1,2.969577655E0
2.572072625E0,5.141404098E-1,-3.051681437E0,8.905707049E-1,3.220281996E0
2.582127750E0,6.987814468E-1,-3.283056930E0,7.400376463E-1,3.437210211E0
2.592181750E0,8.975207055E-1,-3.547357509E0,5.670558111E-1,3.702815282E0
2.602235750E0,1.062445516E0,-3.811058749E0,4.217561567E-1,3.978798502E0
2.612289750E0,1.221506154E0,-4.030976623E0,2.974933223E-1,4.222481746E0
2.622343750E0,1.300995542E0,-4.203797221E0,1.803852873E-1,4.404207004E0
2.632397750E0,1.356727109E0,-4.367944937E0,1.525113179E-1,4.576342548E0
2.642451750E0,1.349268985E0,-4.556122954E0,1.461874080E-1,4.753961919E0
2.652505750E0,1.396315098E0,-4.729403729E0,1.915125386E-1,4.934939973E0
2.662559750E0,1.471207990E0,-4.909337465E0,1.662549059E-1,5.127737121E0
2.672613750E0,1.480362391E0,-5.084142315E0,1.428597575E-1,5.297205377E0
2.682667750E0,1.477605429E0,-5.289325206E0,1.184919249E-1,5.493115625E0
2.692721750E0,1.356118414E0,-5.503240913E0,1.254093271E-1,5.669254377E0
2.702775750E0,1.216601509E0,-5.761577332E0,1.514639354E-1,5.890571611E0
2.712829750E0,1.086077623E0,-5.987879781E0,1.373259526E-1,6.087128000E0
2.722883750E0,9.346446776E-1,-6.146822305E0,1.440321243E-1,6.219142254E0
2.732937750E0,7.446774119E-1,-6.264531434E0,2.059536995E-1,6.311997739E0
2.742991750E0,4.993890542E-1,-6.364137583E0,3.559363890E-1,6.393616137E0
2.753045750E0,2.834642440E-1,-6.411802915E0,5.710724097E-1,6.443422406E0
2.763099750E0,3.599545956E-2,-6.402613431E0,7.877123344E-1,6.450987920E0
2.773153750E0,-2.629563046E-1,-6.338924389E0,9.880056368E-1,6.420846016E0
2.783207750E0,-5.763144386E-1,-6.246267655E0,1.228788276E0,6.392019914E0
2.793261750E0,-1.025682902E0,-6.152510476E0,1.478551508E0,6.410267166E0
2.803315750E0,-1.559265888E0,-6.095636948E0,1.791946480E0,6.542107619E0
2.813369750E0,-2.049064924E0,-6.087863660E0,2.098715825E0,6.757614899E0
2.823423750E0,-2.494029264E0,-6.081307177E0,2.341032628E0,6.977314148E0
2.833477750E0,-2.982784572E0,-6.054334556E0,2.576429397E0,7.224261842E0
2.843531750E0,-3.424956867E0,-5.975003042E0,2.817434669E0,7.441030104E0
2.853585750E0,-3.765100511E0,-5.833975802E0,3.030180933E0,7.575833420E0
2.863639750E0,-3.924341828E0,-5.589462200E0,3.298452941E0,7.584348244E0
2.873693750E0,-3.830139091E0,-5.156536692E0,3.452221849E0,7.292302230E0
2.883747750E0,-3.641918389E0,-4.629855174E0,3.506230826E0,6.855128233E0
2.893801750E0,-3.353250123E0,-4.012514332E0,3.574102381E0,6.333937597E0
2.903855750E0,-2.843232585E0,-3.239118320E0,3.471675535E0,5.534292190E0
2.913909750E0,-2.271606444E0,-2.349797458E0,3.188666790E0,4.566107732E0
2.923963750E0,-1.774414188E0,-1.405358402E0,2.822532856E0,3.618047771E0
2.934017750E0,-1.385602999E0,-5.390475751E-1,2.458598061E0,2.873181579E0
2.944071750E0,-9.551420921E-1,2.713983318E-1,2.099651672E0,2.322604274E0
2.954125750E0,-5.690498579E-1,1.012425656E0,1.711330917E0,2.068206218E0
2.964179750E0,-3.597674847E-1,1.629236594E0,1.367104747E0,2.157039618E0
2.974233750E0,-3.246485227E-1,2.093417370E0,1.121896350E0,2.397174247E0
2.984287750E0,-3.015379876E-1,2.347078502E0,1.004784222E0,2.570854719E0
2.994341750E0,-3.422714460E-1,2.395008714E0,9.821942353E-1,2.611115087E0
3.004395750E0,-5.288636988E-1,2.269876983E0,1.031461120E0,2.548715436E0
3.014449750E0,-7.878602690E-1,1.962119166E0,1.170346671E0,2.416680938E0
3.024503750E0,-1.082200334E0,1.414443659E0,1.369430185E0,2.246585734E0
3.034557750E0,-1.348680755E0,8.123440227E-1,1.596088144E0,2.241950034E0
3.044611750E0,-1.652785671E0,2.375084911E-1,1.838524230E0,2.483602646E0
3.054665750E0,-1.904963218E0,-2.338728386E-1,2.023909033E0,2.789227337E0
3.064719750E0,-2.006644544E0,-5.358413275E-1,2.083360598E0,2.941791909E0
3.074773750E0,-1.961616890E0,-6.444830328E-1,2.074033266E0,2.926587294E0
3.084827750E0,-1.805251234E0,-5.801192218E-1,1.988031687E0,2.747315111E0
3.094881750E0,-1.573793880E0,-3.740832227E-1,1.857300224E0,2.462991993E0
3.104935750E0,-1.360861675E0,-2.755529612E-2,1.742210648E0,2.210882569E0
3.114989750E0,-1.232121189E0,4.372998101E-1,1.733542736E0,2.171295504E0
3.125043750E0,-1.229192904E0,1.014890403E0,1.903682093E0,2.482926345E0
3.135097750E0,-1.328665736E0,1.652896183E0,2.223337678E0,3.072563891E0
3.145151750E0,-1.414640856E0,2.248583032E0,2.627343442E0,3.736344198E0
3.155205750E0,-1.548571916E0,2.765306742E0,3.070825514E0,4.413044945E0
3.165259750E0,-1.693541933E0,3.185570396E0,3.420627004E0,4.971582457E0
3.175313750E0,-1.798036940E0,3.574676286E0,3.712158651E0,5.458147052E0
